FacilityName,FacilityNameNum,Facility,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates,capacityNum,lat,lon
3-D Metals,3-D Metals,3-D Metals,Definition:Small Scale Wind,,,,Valley City OH,0.1 MW,1,2009,Northern Power Systems,In Service,"41.2481362°, -81.88305616°",0.1,41.2481362,-81.88305616
AB Tehachapi Wind Farm,AB Tehachapi Wind Farm,AB Tehachapi,Commercial Scale Wind,Coram Energy,AB Energy,Southern California Edison Co,Tehachapi CA,6.97 MW,31,1992,Vestas,In Service,"35.053289°, -118.268631°",6.97,35.053289,-118.268631
AFCEE MMR Turbines,AFCEE MMR Turbines,AFCEE MMR Turbines,Commercial Scale Wind,AFCEE,Air Force Center for Engineering and the Environment,Distributed generation - net metered,Camp Edwards Sandwich MA,3 MW,2,2011,GE Energy,In Service,"41.75754733°, -70.54557323°",3,41.75754733,-70.54557323
AG Land 1,AG Land 1,AG Land 1,Community Wind,AG Land Energy LLC,AG Land Energy LLC,Alliant Energy,Story County IA,1.6 MW,1,2012,GE Energy,In Service,"42.145531°, -93.432161°",1.6,42.145531,-93.432161
AG Land 2,AG Land 2,AG Land 2,Community Wind,AG Land Energy LLC,AG Land Energy LLC,Alliant Energy,Story County IA,1.6 MW,1,2012,GE Energy,In Service,"41.904231°, -93.354864°",1.6,41.904231,-93.354864
AG Land 3,AG Land 3,AG Land 3,Community Wind,AG Land Energy LLC,AG Land Energy LLC,Alliant Energy,Story County IA,1.6 MW,1,2012,GE Energy,In Service,"42.146061°, -93.428028°",1.6,42.146061,-93.428028
AG Land 4,AG Land 4,AG Land 4,Community Wind,AG Land Energy LLC,AG Land Energy LLC,Alliant Energy,Story County IA,1.6 MW,1,2012,GE Energy,In Service,"42.206397°, -93.325714°",1.6,42.206397,-93.325714
AG Land 5,AG Land 5,AG Land 5,Community Wind,AG Land Energy LLC,Enervation LLC,Alliant Energy,Hamilton County IA,1.6 MW,1,2012,GE Energy,In Service,"42.335544°, -93.636953°",1.6,42.335544,-93.636953
AG Land 6,AG Land 6,AG Land 6,Community Wind,AG Land Energy LLC,Enervation LLC,Alliant Energy,Hamilton County IA,1.6 MW,1,2012,GE Energy,In Service,"42.335536°, -93.632344°",1.6,42.335536,-93.632344
AVTEC,AVTEC,AVTEC,Definition:Small Scale Wind,AVTEC,,AVTEC,Seward AK,0.1 MW,1,2010,Northern Power Systems,In Service,"60.12628341°, -149.4321942°",0.1,60.12628341,-149.4321942
